"id","match_date_weekday_id","match_date_day","match_date_month_id","match_date_year","home_team_name_id","away_team_name_id","home_team_goal","away_team_goal"
2037,4,"19",5,"2012",22,27,"1","0"
2126,2,"4",1,"2012",13,7,"3","0"
1549,2,"9",2,"2012",7,4,"4","1"
2036,2,"21",5,"2012",33,23,"2","0"
2105,3,"22",1,"2012",29,30,"3","1"
1544,3,"13",2,"2012",4,33,"2","1"
1566,3,"6",2,"2012",22,13,"0","2"
2110,6,"21",1,"2012",27,4,"0","0"
1594,3,"6",2,"2012",32,18,"2","2"
2094,1,"2",6,"2012",32,20,"0","0"
2035,1,"22",5,"2012",11,20,"0","1"
1586,3,"6",2,"2012",14,23,"2","1"
1579,3,"6",2,"2012",29,19,"1","0"
2005,6,"7",3,"2012",32,14,"0","3"
1649,7,"1",2,"2012",13,16,"1","0"
2107,3,"22",1,"2012",11,33,"1","1"
2046,3,"11",5,"2012",4,19,"1","0"
1534,3,"13",2,"2012",13,29,"3","2"
2034,1,"22",5,"2012",29,7,"3","2"
1996,6,"7",3,"2012",4,30,"2","1"
1530,3,"13",2,"2012",27,28,"2","0"
1526,3,"13",2,"2012",19,32,"2","2"
1522,3,"13",2,"2012",23,16,"0","1"
1517,3,"13",2,"2012",17,7,"1","0"
1539,3,"13",2,"2012",11,22,"3","1"
2039,3,"18",5,"2012",14,17,"0","3"
1509,3,"13",2,"2012",18,20,"2","3"
1505,3,"13",2,"2012",30,9,"3","2"
1593,3,"12",2,"2013",14,7,"1","3"
1835,6,"20",3,"2013",18,22,"1","1"
1791,6,"27",3,"2013",19,27,"1","0"
1536,4,"20",2,"2013",7,29,"1","0"
1564,3,"12",2,"2013",19,5,"1","2"
1862,6,"20",3,"2013",27,31,"2","1"
1971,7,"9",3,"2013",16,13,"1","2"
1657,3,"5",2,"2013",29,20,"0","1"
2000,3,"7",3,"2013",22,14,"1","0"
1600,3,"12",2,"2013",11,10,"2","0"
1520,4,"20",2,"2013",17,14,"0","3"
1734,3,"28",3,"2013",22,7,"0","6"
1648,4,"6",2,"2013",16,4,"0","1"
1609,6,"11",2,"2013",28,4,"1","2"
1697,6,"4",2,"2013",17,13,"0","0"
1665,3,"5",2,"2013",7,11,"0","0"
1524,4,"20",2,"2013",1,19,"1","1"
1987,3,"7",3,"2013",7,10,"0","0"
1689,6,"4",2,"2013",5,1,"1","0"
1673,6,"4",2,"2013",10,22,"0","0"
1979,4,"8",3,"2013",29,30,"1","1"
1502,4,"20",2,"2013",30,28,"2","2"
1681,6,"4",2,"2013",18,30,"2","3"
1822,6,"20",3,"2013",10,30,"2","0"
1939,6,"13",3,"2013",31,7,"0","0"
1558,4,"13",2,"2013",16,17,"2","1"
1578,3,"12",2,"2013",29,22,"1","2"
1769,6,"27",3,"2013",11,14,"1","0"
1618,1,"9",2,"2013",4,5,"2","2"
1785,6,"27",3,"2013",30,5,"2","2"
1778,6,"27",3,"2013",13,10,"2","1"
1923,3,"14",3,"2013",19,16,"0","2"
1899,1,"18",3,"2013",14,4,"0","3"
1510,4,"20",2,"2013",18,16,"5","5"
1931,6,"13",3,"2013",1,10,"1","1"
1955,6,"13",3,"2013",28,14,"1","1"
1907,2,"17",3,"2013",20,11,"0","0"
1891,1,"18",3,"2013",13,30,"1","0"
1532,4,"20",2,"2013",13,27,"2","3"
1640,7,"7",2,"2013",23,19,"1","1"
1516,4,"20",2,"2013",5,23,"1","0"
1883,1,"18",3,"2013",10,16,"2","2"
1915,3,"14",3,"2013",22,23,"0","3"
1552,2,"15",2,"2013",31,13,"0","2"
1585,3,"12",2,"2013",27,18,"4","0"
1857,6,"20",3,"2013",29,19,"0","2"
1506,4,"20",2,"2013",10,31,"4","2"
1874,6,"20",3,"2013",14,20,"0","1"
1705,6,"4",2,"2013",27,28,"1","2"
1814,3,"21",3,"2013",5,13,"3","1"
1528,4,"20",2,"2013",22,20,"0","1"
1625,2,"8",2,"2013",30,17,"2","3"
1850,6,"20",3,"2013",23,11,"1","0"
1570,3,"12",2,"2013",23,1,"1","1"
1713,6,"4",2,"2013",14,31,"2","4"
1807,4,"22",3,"2013",7,4,"2","2"
1546,2,"15",2,"2013",20,30,"4","1"
1758,6,"27",3,"2013",1,18,"0","3"
1721,7,"30",3,"2013",28,23,"6","1"
1633,2,"8",2,"2013",13,18,"1","0"
1843,6,"20",3,"2013",17,1,"0","0"
1728,4,"29",3,"2013",20,16,"1","1"
1541,4,"20",2,"2013",4,11,"2","1"
1743,3,"28",3,"2013",31,29,"0","0"
1751,3,"28",3,"2013",4,17,"2","0"
1994,3,"7",3,"2013",5,11,"2","2"
2010,3,"7",3,"2013",NULL,NULL,"",""
1963,6,"13",3,"2013",20,27,"3","1"
1799,7,"23",3,"2013",16,28,"3","0"
1947,6,"13",3,"2013",11,29,"2","0"
1921,6,"5",3,"2014",22,16,"0","4"
2008,3,"30",5,"2014",NULL,NULL,"",""
2002,3,"30",5,"2014",2,4,"1","0"
1967,3,"30",5,"2014",18,21,"3","3"
1500,3,"11",2,"2014",18,19,"1","2"
1515,3,"11",2,"2014",27,20,"0","2"
1503,3,"11",2,"2014",5,28,"3","0"
1775,6,"19",3,"2014",22,17,"1","2"
1768,6,"19",3,"2014",10,2,"0","1"
1666,6,"26",3,"2014",1,11,"2","0"
1551,2,"7",2,"2014",16,26,"3","1"
1786,1,"17",3,"2014",13,23,"2","2"
1762,6,"19",3,"2014",5,14,"3","1"
1738,3,"20",3,"2014",26,20,"0","3"
1690,6,"26",3,"2014",19,5,"0","1"
1746,6,"19",3,"2014",21,19,"1","1"
1942,6,"5",3,"2014",28,14,"1","2"
1682,6,"26",3,"2014",17,28,"4","1"
1974,3,"30",5,"2014",17,27,"3","0"
1674,6,"26",3,"2014",18,10,"1","0"
1698,6,"26",3,"2014",14,26,"2","2"
1983,3,"30",5,"2014",19,26,"1","0"
1658,3,"27",3,"2014",7,4,"0","2"
1597,6,"3",2,"2014",19,14,"4","1"
1545,1,"8",2,"2014",13,28,"4","0"
1873,7,"8",3,"2014",5,23,"5","1"
1730,3,"20",3,"2014",27,7,"2","3"
1590,6,"3",2,"2014",17,1,"0","1"
1507,3,"11",2,"2014",23,17,"1","3"
1511,3,"11",2,"2014",1,16,"1","1"
1722,3,"20",3,"2014",4,23,"1","2"
1540,1,"8",2,"2014",23,18,"2","0"
1581,6,"3",2,"2014",10,5,"2","0"
1714,4,"21",3,"2014",11,16,"2","0"
1575,3,"4",2,"2014",20,18,"1","0"
1708,7,"22",3,"2014",13,18,"3","1"
1754,6,"19",3,"2014",28,1,"0","0"
1562,4,"5",2,"2014",4,27,"0","0"
1531,3,"11",2,"2014",14,2,"2","2"
1611,6,"3",2,"2014",16,23,"0","1"
1603,6,"3",2,"2014",22,21,"3","0"
1527,3,"11",2,"2014",26,11,"0","2"
1568,3,"4",2,"2014",11,13,"2","3"
1627,7,"29",3,"2014",20,22,"3","0"
1619,6,"3",2,"2014",28,26,"3","1"
1642,3,"27",3,"2014",16,27,"4","0"
1523,3,"11",2,"2014",7,22,"2","1"
1855,6,"12",3,"2014",14,27,"1","0"
1535,3,"11",2,"2014",21,4,"1","2"
1848,6,"12",3,"2014",1,21,"0","1"
1837,6,"12",3,"2014",19,22,"1","0"
1519,3,"11",2,"2014",13,10,"2","0"
1867,6,"12",3,"2014",2,28,"1","0"
1903,6,"5",3,"2014",13,1,"4","1"
1896,3,"6",3,"2014",11,20,"3","0"
1634,4,"28",3,"2014",2,13,"0","2"
1889,3,"6",3,"2014",4,19,"3","0"
1881,4,"7",3,"2014",10,7,"1","2"
1913,6,"5",3,"2014",27,18,"0","1"
1951,7,"1",3,"2014",23,10,"1","2"
1989,3,"30",5,"2014",1,22,"4","0"
1929,6,"5",3,"2014",26,17,"1","0"
1650,3,"27",3,"2014",23,21,"4","0"
1958,4,"31",5,"2014",7,5,"4","0"
1825,6,"12",3,"2014",18,5,"3","3"
1816,3,"13",3,"2014",7,13,"3","2"
1808,4,"14",3,"2014",17,4,"0","1"
1800,2,"16",3,"2014",20,10,"3","1"
1792,1,"17",3,"2014",11,2,"2","3"
1937,6,"5",3,"2014",21,2,"0","3"
1557,7,"6",2,"2014",2,7,"3","3"
1831,6,"12",3,"2014",23,11,"0","1"
1346,4,"10",10,"2015",19,7,"0","1"
955,3,"6",4,"2015",4,3,"0","1"
1976,6,"11",3,"2015",5,28,"0","1"
